id,nazwisko,pensja,stanowisko
2052,Koral,10265,Project Manager
2053,Pawłowski,17569,Software Engineer
2054,Kotowski,12935,DevOps Engineer
2055,Laskowski,18466,DevOps Engineer
2056,Hajduk,6106,HR Specialist
2057,Idzik,10308,Data Engineer
2058,Adamski,12469,Project Manager
2059,Kuciński,9633,Data Analyst
2060,Klimek,10990,Data Analyst
2061,Kuś,6468,Junior Data Engineer
2062,Wieczorek,14128,Project Manager
2063,Gołąb,7867,HR Specialist
2064,Gąsior,13400,Software Engineer
2065,Leśniak,17545,Software Engineer
2066,Garbacz,6797,Junior Data Engineer
2067,Kopeć,8710,Data Analyst
2068,Sobolewski,16806,Software Engineer
2069,Adamski,18453,DevOps Engineer
2070,Wojciechowski,12046,Data Engineer
2071,Zając,5827,HR Specialist
2072,Michalski,17580,DevOps Engineer
2073,Michalak,13881,Software Engineer
2074,Szulc,15863,Project Manager
2075,Szczepański,19323,DevOps Engineer
2076,Lipski,15128,Software Engineer
2077,Gajewski,9932,Data Analyst
2078,Godlewski,13574,Data Analyst
2079,Duda,13895,DevOps Engineer
2080,Furman,18681,DevOps Engineer
2081,Jabłoński,17242,Senior Data Engineer
2082,Zając,5915,HR Specialist
2083,Tomaszewski,5757,HR Specialist
2084,Kogut,19214,DevOps Engineer
2085,Maciejewski,14275,Project Manager
2086,Sikorski,15054,Project Manager
2087,Łuczak,15948,Project Manager
2088,Kot,7363,HR Specialist
2089,Ciesielski,20300,Senior Data Engineer
2090,Szczepański,18867,Senior Data Engineer
2091,Kucharz,14797,Data Engineer
2092,Tomaszewski,8275,Junior Data Engineer
2093,Róg,24822,Senior Data Engineer
2094,Bąk,17753,Senior Data Engineer
2095,Włodarczyk,10137,Project Manager
2096,Pałka,25201,Senior Data Engineer
2097,Kubat,13111,Data Engineer
2098,Kaczmarek,22793,Senior Data Engineer
2099,Kasprzak,11246,Data Engineer
2100,Komorowski,17904,Software Engineer
2101,Łukasik,16907,DevOps Engineer
2102,Kwiatkowski,9762,Data Analyst
2103,Kasprzak,6617,HR Specialist
2104,Sobolewski,9891,Software Engineer
2105,Woźniak,11501,Data Analyst
2106,Leśniak,8781,Data Analyst
2107,Kaczmarek,5806,HR Specialist
2108,Kujawski,6266,HR Specialist
2109,Majewski,14068,Software Engineer
2110,Lipski,14169,DevOps Engineer
2111,Kalina,6696,Junior Data Engineer
2112,Łuczak,12216,Data Analyst
2113,Kuc,12252,Data Engineer
2114,Karaś,10480,Data Analyst
2115,Sawicki,7398,HR Specialist
2116,Róg,12248,DevOps Engineer
2117,Strzelczyk,12646,Data Analyst
2118,Kujawski,10316,Data Engineer
2119,Borkowski,15025,Project Manager
2120,Kuśnierz,13221,Project Manager
2121,Majewski,17944,Senior Data Engineer
2122,Lipski,6718,Junior Data Engineer
2123,Kopeć,7841,HR Specialist
2124,Czajkowski,24796,Senior Data Engineer
2125,Wasilewski,23503,Senior Data Engineer
2126,Jankowski,9084,Data Analyst
2127,Malinowski,14020,DevOps Engineer
2128,Jaworski,12694,Software Engineer
2129,Kotowski,6616,HR Specialist
2130,Dąbrowski,19327,DevOps Engineer
2131,Małecki,18228,Senior Data Engineer
2132,Kijek,14524,Data Engineer
2133,Leśniak,15057,Data Engineer
2134,Płonka,6157,Junior Data Engineer
2135,Kubiak,17807,Software Engineer
2136,Gajewski,19116,DevOps Engineer
2137,Strzelczyk,8046,Data Analyst
2138,Kaczor,12961,Data Engineer
2139,Lipski,6158,HR Specialist
2140,Jaworski,7004,HR Specialist
2141,Kobus,8141,Data Analyst
2142,Górecki,14235,DevOps Engineer
2143,Kołodziej,14421,DevOps Engineer
2144,Głowacki,7265,HR Specialist
2145,Kotowski,11499,Data Engineer
2146,Madej,7928,HR Specialist
2147,Sikorski,5645,HR Specialist
2148,Michalski,12795,Data Engineer
2149,Krakowiak,19284,Senior Data Engineer
2150,Gacek,10609,Software Engineer
2151,Kubat,17325,Software Engineer
2152,Szczepański,13497,Data Engineer
2153,Kotowski,16049,Software Engineer
2154,Komorowski,15451,DevOps Engineer
2155,Staszewski,6544,Junior Data Engineer
2156,Maćkowiak,7402,Junior Data Engineer
2157,Tokarz,11374,Data Analyst
2158,Głowacki,5463,HR Specialist
2159,Kuczyński,13917,DevOps Engineer
2160,Kałuża,6969,HR Specialist
2161,Kot,14638,DevOps Engineer
2162,Gwóźdź,11729,Project Manager
2163,Kosiński,8321,Data Analyst
2164,Sawicki,25134,Senior Data Engineer
2165,Grabowski,11224,Data Engineer
2166,Kłos,17550,Software Engineer
2167,Strzelczyk,5364,HR Specialist
2168,Tomaszewski,14136,Data Engineer
2169,Baran,15706,Data Engineer
2170,Gąsior,8987,Data Analyst
2171,Guzik,11770,Data Engineer
2172,Kałuża,13441,Data Engineer
2173,Róg,8338,Junior Data Engineer
2174,Lipiński,16059,Software Engineer
2175,Karaś,15594,Project Manager
2176,Kozłowski,15683,Software Engineer
2177,Kosiński,10712,Data Engineer
2178,Zalewski,5784,HR Specialist
2179,Mach,15815,Software Engineer
2180,Piotrowski,15920,Software Engineer
2181,Jankowski,15148,Data Engineer
2182,Karpiński,12966,Software Engineer
2183,Janicki,11685,Data Engineer
2184,Kucharz,12050,DevOps Engineer
2185,Łuczak,10617,Project Manager
2186,Czajkowski,13550,Data Analyst
2187,Jezierski,7788,Junior Data Engineer
2188,Olszewski,8225,Junior Data Engineer
2189,Sobolewski,16203,Project Manager
2190,Duda,16715,Software Engineer
2191,Klimas,5944,HR Specialist
2192,Kucharski,15630,Data Engineer
2193,Łuczak,10167,Software Engineer
2194,Gwóźdź,11218,Data Engineer
2195,Czajkowski,11264,Data Engineer
2196,Sikora,13948,Data Engineer
2197,Adamczyk,17638,Senior Data Engineer
2198,Karaś,14277,Project Manager
2199,Guzik,14218,Software Engineer
2200,Jarosz,15466,Software Engineer
2201,Garbacz,16797,Software Engineer
2202,Gałązka,5504,HR Specialist
2203,Bąk,15973,DevOps Engineer
2204,Nowakowski,12889,Data Analyst
2205,Hajduk,13107,Data Analyst
2206,Kwiecień,18342,Senior Data Engineer
2207,Walczak,13504,Software Engineer
2208,Czajka,7157,Junior Data Engineer
2209,Zięba,7524,Junior Data Engineer
2210,Mikołajczyk,17546,Senior Data Engineer
2211,Zięba,12584,DevOps Engineer
2212,Rutkowski,12019,Project Manager
2213,Bieniek,15326,Project Manager
2214,Krajewski,15596,Data Engineer
2215,Pawłowski,16419,Project Manager
2216,Klimas,6125,HR Specialist
2217,Zięba,13627,Data Engineer
2218,Kulig,17464,DevOps Engineer
2219,Małecki,24918,Senior Data Engineer
2220,Górecki,14826,Data Engineer
2221,Lewandowski,15390,Data Engineer
2222,Kozieł,13421,Project Manager
2223,Bieniek,9692,Software Engineer
2224,Olszewski,9356,Data Analyst
2225,Jasiński,20583,Senior Data Engineer
2226,Sroka,8271,Data Analyst
2227,Krajewski,25711,Senior Data Engineer
2228,Kowalski,20248,Senior Data Engineer
2229,Mróz,19460,DevOps Engineer
2230,Kozak,14659,Data Engineer
2231,Mikołajczyk,13623,Software Engineer
2232,Czajkowski,6846,Junior Data Engineer
2233,Głowacki,8977,Data Analyst
2234,Głowacki,12718,Project Manager
2235,Kot,5008,HR Specialist
2236,Pałka,7275,HR Specialist
2237,Kurek,15102,Software Engineer
2238,Kogut,7022,Junior Data Engineer
2239,Wróbel,11029,Data Analyst
2240,Kozłowski,8111,Junior Data Engineer
2241,Kmiecik,17316,DevOps Engineer
2242,Woźniak,6298,Junior Data Engineer
2243,Kalina,13131,Project Manager
2244,Grabowski,6704,Junior Data Engineer
2245,Kalina,8363,Junior Data Engineer
2246,Łukasik,6158,HR Specialist
2247,Żuk,11770,Software Engineer
2248,Maciejewski,13242,DevOps Engineer
2249,Pawlak,13045,Data Engineer
2250,Kosiński,16301,DevOps Engineer
2251,Włodarczyk,6935,HR Specialist
2252,Dąbrowski,8960,Data Analyst
2253,Kubat,19173,Senior Data Engineer
2254,Chmielewski,19311,DevOps Engineer
2255,Kobus,11864,DevOps Engineer
2256,Kucharski,11862,Project Manager
2257,Kaczmarek,12391,Software Engineer
2258,Lach,19910,DevOps Engineer
2259,Sroka,24218,Senior Data Engineer
2260,Kowalczyk,8982,Junior Data Engineer
2261,Krajewski,17568,Senior Data Engineer
2262,Adamczyk,19386,DevOps Engineer
2263,Pawłowski,18122,Senior Data Engineer
2264,Klimek,12304,Software Engineer
2265,Malec,7962,Junior Data Engineer
2266,Kucharz,16581,Software Engineer
2267,Kołodziej,7497,Junior Data Engineer
2268,Kupiec,6802,Junior Data Engineer
2269,Tomaszewski,17242,DevOps Engineer
2270,Kałuża,15084,Data Engineer
2271,Kopeć,10919,Data Engineer
2272,Kulig,12648,Data Engineer
2273,Jasiński,11121,Software Engineer
2274,Kałuża,14964,Software Engineer
2275,Kamiński,8399,Data Analyst
2276,Knap,15597,Project Manager
2277,Lipka,7818,HR Specialist
2278,Kosiński,16047,Project Manager
2279,Kozak,12590,Data Analyst
2280,Majchrzak,13673,DevOps Engineer
2281,Lewandowski,11997,Data Analyst
2282,Kuczyński,17260,Software Engineer
2283,Rutkowski,12834,Software Engineer
2284,Komorowski,7944,Junior Data Engineer
2285,Klimek,5692,HR Specialist
2286,Morawski,14480,Project Manager
2287,Morawski,8283,Data Analyst
2288,Wojciechowski,15340,DevOps Engineer
2289,Lipiński,13458,Data Engineer
2290,Zawadzki,11527,Data Analyst
2291,Szczepański,7382,HR Specialist
2292,Jasiński,7760,HR Specialist
2293,Dąbrowski,14966,Software Engineer
2294,Jezierski,7113,HR Specialist
2295,Jarosz,25338,Senior Data Engineer
2296,Frankowski,13869,Data Analyst
2297,Grzelak,8463,Data Analyst
2298,Koral,17089,DevOps Engineer
2299,Klimek,15856,DevOps Engineer
2300,Kubala,20888,Senior Data Engineer
2301,Pawłowski,16505,DevOps Engineer
2302,Nowicki,15139,Data Engineer
2303,Dziedzic,12415,DevOps Engineer
2304,Kaczmarczyk,14230,Project Manager
2305,Kurek,12593,Data Engineer
2306,Knap,18854,DevOps Engineer
2307,Płonka,7534,Junior Data Engineer
2308,Laskowski,13707,DevOps Engineer
2309,Kwiecień,6918,Junior Data Engineer
2310,Kuczyński,6692,HR Specialist
2311,Domagała,11514,DevOps Engineer
2312,Kubiak,16586,DevOps Engineer
2313,Kozak,7575,HR Specialist
2314,Idzik,17272,Software Engineer
2315,Szczepański,17332,DevOps Engineer
2316,Ostrowski,18399,Senior Data Engineer
2317,Lach,14023,DevOps Engineer
2318,Duda,7116,Junior Data Engineer
2319,Staszewski,11516,Project Manager
2320,Kubala,17653,DevOps Engineer
2321,Lipiński,10814,Software Engineer
2322,Kubica,7265,Junior Data Engineer
2323,Duda,13210,Software Engineer
2324,Górski,16478,DevOps Engineer
2325,Prus,7414,HR Specialist
2326,Łukasik,13324,Software Engineer
2327,Lasota,5666,HR Specialist
2328,Mazur,8440,Junior Data Engineer
2329,Zalewski,13043,Data Engineer
2330,Krawczyk,11314,Data Engineer
2331,Gałązka,11229,Software Engineer
2332,Grzelak,14314,Project Manager
2333,Kulig,8212,Data Analyst
2334,Zięba,8829,Data Analyst
2335,Filipek,18957,DevOps Engineer
2336,Kupiec,14299,DevOps Engineer
2337,Karaś,7807,HR Specialist
2338,Kucharz,14562,Project Manager
2339,Sikorski,14720,Data Engineer
2340,Kosowski,14102,DevOps Engineer
2341,Janus,13177,Data Analyst
2342,Walczak,5423,HR Specialist
2343,Wróbel,8622,Junior Data Engineer
2344,Komorowski,11075,Data Engineer
2345,Kaczmarczyk,12057,Data Engineer
2346,Malik,18094,DevOps Engineer
2347,Szymański,11481,Project Manager
2348,Lipka,19737,DevOps Engineer
2349,Jakubowski,13006,Data Analyst
2350,Krawczyk,12288,DevOps Engineer
2351,Krakowiak,21426,Senior Data Engineer
2352,Majewski,14565,Software Engineer
2353,Klimek,10896,Data Analyst
2354,Gałązka,15515,Data Engineer
2355,Drzewiecki,17890,Senior Data Engineer
2356,Kędzierski,12671,Data Analyst
2357,Kisiel,7580,HR Specialist
2358,Klimek,15593,Project Manager
2359,Rutkowski,5812,HR Specialist
2360,Frankowski,8712,Data Analyst
2361,Róg,23797,Senior Data Engineer
2362,Szczepanik,12772,Data Engineer
2363,Jabłoński,20534,Senior Data Engineer
2364,Marciniak,5932,HR Specialist
2365,Pawłowski,22013,Senior Data Engineer
2366,Krakowiak,22215,Senior Data Engineer
2367,Skiba,21346,Senior Data Engineer
2368,Wasilewski,13414,Project Manager
2369,Kasprzak,7779,HR Specialist
2370,Kupiec,7794,HR Specialist
2371,Woźniak,11482,Data Analyst
2372,Wieczorek,6011,HR Specialist
2373,Malinowski,15824,DevOps Engineer
2374,Pawłowski,17036,DevOps Engineer
2375,Gąsior,12821,Project Manager
2376,Prus,6939,HR Specialist
2377,Drzewiecki,8884,Junior Data Engineer
2378,Gruszka,12346,Project Manager
2379,Kuczyński,15129,DevOps Engineer
2380,Staszewski,13854,Data Analyst
2381,Leśniak,18399,Senior Data Engineer
2382,Nowak,5235,HR Specialist
2383,Zawadzki,19278,DevOps Engineer
2384,Szczepański,12873,Project Manager
2385,Idzik,14849,Data Engineer
2386,Kaczmarczyk,8338,Data Analyst
2387,Kaczmarek,6930,Junior Data Engineer
2388,Kijek,12106,Software Engineer
2389,Malec,7601,HR Specialist
2390,Karpiński,22644,Senior Data Engineer
2391,Dąbrowski,10596,Data Analyst
2392,Jóźwiak,21743,Senior Data Engineer
2393,Lipka,13960,Data Analyst
2394,Strzelczyk,5660,HR Specialist
2395,Jurek,10670,Data Analyst
2396,Kaczmarek,6002,Junior Data Engineer
2397,Kostrzewa,5923,HR Specialist
2398,Kasprzak,16739,DevOps Engineer
2399,Guzik,12977,Data Analyst
2400,Guzik,8256,Junior Data Engineer
2401,Kołek,13868,Project Manager
2402,Wójcik,14669,DevOps Engineer
2403,Kuśnierz,12288,Project Manager
2404,Baranowski,11896,Software Engineer
2405,Kulig,14216,Data Engineer
2406,Konieczny,18015,Senior Data Engineer
2407,Kuczyński,9984,Software Engineer
2408,Kołek,7856,Junior Data Engineer
2409,Guzik,13533,Project Manager
2410,Klimek,8602,Junior Data Engineer
2411,Lorenc,11775,Project Manager
2412,Madejski,8952,Data Analyst
2413,Adamski,11010,Data Engineer
2414,Kulpa,25624,Senior Data Engineer
2415,Krawczyk,15823,Data Engineer
2416,Kłos,12250,DevOps Engineer
2417,Kotowski,7021,HR Specialist
2418,Śliwa,11843,Data Analyst
2419,Mach,10782,Data Engineer
2420,Kubica,24066,Senior Data Engineer
2421,Guzik,15957,Data Engineer
2422,Mazur,7907,Junior Data Engineer
2423,Lorenc,15389,Data Engineer
2424,Gruszka,11616,Software Engineer
2425,Maciejewski,15751,Software Engineer
2426,Kostrzewa,22255,Senior Data Engineer
2427,Zieliński,6784,HR Specialist
2428,Zieliński,13898,Data Analyst
2429,Adamczyk,16771,Software Engineer
2430,Wasilewski,13742,Data Analyst
2431,Jarosz,8606,Data Analyst
2432,Kaczmarczyk,5080,HR Specialist
2433,Furman,17984,Software Engineer
2434,Bednarek,15078,DevOps Engineer
2435,Chmielewski,10980,Data Analyst
2436,Lipski,11918,Data Engineer
2437,Iskra,11059,Data Engineer
2438,Wójcik,12784,Data Engineer
2439,Woźniak,13257,DevOps Engineer
2440,Kurek,12655,Project Manager
2441,Baran,7655,HR Specialist
2442,Żuk,24894,Senior Data Engineer
2443,Kosiński,7427,HR Specialist
2444,Mach,12772,Data Engineer
2445,Król,11230,DevOps Engineer
2446,Kupiec,14439,Project Manager
2447,Kłos,10674,Software Engineer
2448,Kobus,11512,Project Manager
2449,Czajkowski,13928,Data Analyst
2450,Pawlak,11791,Project Manager
2451,Leśniak,6437,HR Specialist
2452,Krakowiak,10852,Software Engineer
2453,Kozłowski,22389,Senior Data Engineer
2454,Bednarek,20304,Senior Data Engineer
2455,Nowicki,24408,Senior Data Engineer
2456,Kuczyński,8549,Junior Data Engineer
2457,Hajduk,19245,Senior Data Engineer
2458,Makowski,14968,Data Engineer
2459,Janicki,11796,Data Analyst
2460,Lorenc,12117,Project Manager
2461,Karpiński,11006,Data Engineer
2462,Domagała,6658,HR Specialist
2463,Pietrzak,14535,Project Manager
2464,Drzewiecki,24372,Senior Data Engineer
2465,Zięba,6775,HR Specialist
2466,Wróblewski,9846,Data Analyst
2467,Gałązka,11910,Data Engineer
2468,Dziedzic,7679,Junior Data Engineer
2469,Lipiński,6282,Junior Data Engineer
2470,Woźniak,21430,Senior Data Engineer
2471,Kuś,8016,Junior Data Engineer
2472,Gacek,5545,HR Specialist
2473,Kwiatkowski,13814,DevOps Engineer
2474,Gajewski,7146,HR Specialist
2475,Gąsior,9348,Software Engineer
2476,Baranowski,5688,HR Specialist
2477,Godlewski,14792,Project Manager
2478,Malik,8151,Junior Data Engineer
2479,Chmielewski,12694,Data Engineer
2480,Sikora,13447,Software Engineer
2481,Mikołajczyk,13407,DevOps Engineer
2482,Nowicki,12178,DevOps Engineer
2483,Kubica,15933,Data Engineer
2484,Kołodziej,15398,Data Engineer
2485,Kapusta,17580,DevOps Engineer
2486,Prus,5567,HR Specialist
2487,Kurek,7748,HR Specialist
2488,Koral,14469,Project Manager
2489,Czajka,14364,Data Engineer
2490,Jabłoński,15663,Project Manager
2491,Czajka,14549,Data Engineer
2492,Kowalczyk,21707,Senior Data Engineer
2493,Kozieł,19594,DevOps Engineer
2494,Maćkowiak,13537,Data Engineer
2495,Kubat,19063,DevOps Engineer
2496,Knap,11078,Software Engineer
2497,Lewandowski,23602,Senior Data Engineer
2498,Jakubowski,10278,Software Engineer
2499,Krawczyk,12486,Project Manager
2500,Tomaszewski,13387,Project Manager
2501,Walczak,6219,HR Specialist
2502,Godlewski,14478,Data Engineer
2503,Kałuża,7082,HR Specialist
2504,Madejski,10885,Software Engineer
2505,Król,14796,Project Manager
2506,Sadowski,14046,DevOps Engineer
2507,Gruszka,6331,Junior Data Engineer
2508,Szewczyk,10052,Project Manager
2509,Kaczmarek,12795,Data Engineer
2510,Ziółkowski,7293,HR Specialist
2511,Ziółkowski,10663,Software Engineer
2512,Michalski,6275,HR Specialist
2513,Jakubowski,11621,Data Engineer
2514,Kujawski,19485,DevOps Engineer
2515,Kopeć,15005,Software Engineer
2516,Dziedzic,24458,Senior Data Engineer
2517,Sobczak,6965,HR Specialist
2518,Kosiński,20236,Senior Data Engineer
2519,Wrona,16119,DevOps Engineer
2520,Filipek,6407,HR Specialist
2521,Mazur,16998,DevOps Engineer
2522,Ziółkowski,21627,Senior Data Engineer
2523,Zięba,20196,Senior Data Engineer
2524,Komorowski,13163,Data Engineer
2525,Kaczor,13402,Data Engineer
2526,Maciejewski,6087,Junior Data Engineer
2527,Knap,18597,DevOps Engineer
2528,Laskowski,13048,Data Analyst
2529,Wróblewski,13297,Project Manager
2530,Kupiec,7834,Junior Data Engineer
2531,Stępień,15524,Software Engineer
2532,Knap,10703,Data Analyst
2533,Szymański,15512,DevOps Engineer
2534,Maj,7570,HR Specialist
2535,Dąbrowski,24354,Senior Data Engineer
2536,Madej,17038,Software Engineer
2537,Kubat,18088,DevOps Engineer
2538,Kaczor,23741,Senior Data Engineer
2539,Lipiński,5532,HR Specialist
2540,Sobczak,20564,Senior Data Engineer
2541,Adamski,7235,Junior Data Engineer
2542,Kędzierski,13272,Data Engineer
2543,Grzelak,13127,Data Engineer
2544,Gruszka,11593,Data Analyst
2545,Tokarz,6826,Junior Data Engineer
2546,Jezierski,13517,Project Manager
2547,Kucharz,13937,Data Engineer
2548,Bąk,21214,Senior Data Engineer
2549,Kubiak,7562,HR Specialist
2550,Michalak,15304,DevOps Engineer
2551,Skiba,12122,Data Analyst
2552,Prus,11692,Project Manager
2553,Wójcik,7987,Junior Data Engineer
2554,Kubiak,12844,Data Engineer
2555,Komorowski,9328,Data Analyst
2556,Kowalczyk,17050,Senior Data Engineer
2557,Król,6934,Junior Data Engineer
2558,Szczepanik,23590,Senior Data Engineer
2559,Sikora,10715,Software Engineer
2560,Kijek,13275,Data Analyst
2561,Kubiak,8252,Junior Data Engineer
2562,Klimas,5005,HR Specialist
2563,Kwiatkowski,7242,HR Specialist
2564,Król,5477,HR Specialist
2565,Kołek,7644,Junior Data Engineer
2566,Idzik,8234,Data Analyst
2567,Kamiński,13268,Data Engineer
2568,Tomaszewski,5098,HR Specialist
2569,Karaś,14057,Project Manager
2570,Lipiński,10490,Project Manager
2571,Róg,11223,Data Analyst
2572,Sikorski,19909,Senior Data Engineer
2573,Kamiński,21114,Senior Data Engineer
2574,Róg,13333,DevOps Engineer
2575,Kulig,5043,HR Specialist
2576,Pawłowski,8016,Data Analyst
2577,Rutkowski,10458,Project Manager
2578,Ziółkowski,10359,Project Manager
2579,Kubica,6446,HR Specialist
2580,Dudek,11367,Data Analyst
2581,Lasota,14526,Data Engineer
2582,Jezierski,12148,Software Engineer
2583,Lis,9270,Software Engineer
2584,Bednarek,13694,Software Engineer
2585,Jabłoński,7849,Junior Data Engineer
2586,Wojciechowski,6209,Junior Data Engineer
2587,Jurek,9018,Data Analyst
2588,Sawicki,10179,Data Engineer
2589,Płonka,12524,Data Analyst
2590,Ziółkowski,6052,HR Specialist
2591,Drzewiecki,11766,Data Engineer
2592,Bednarek,13803,Project Manager
2593,Lipka,15108,DevOps Engineer
2594,Knap,9499,Data Analyst
2595,Lipka,7804,HR Specialist
2596,Maćkowiak,10630,Software Engineer
2597,Gałązka,21009,Senior Data Engineer
2598,Sawicki,11678,DevOps Engineer
2599,Wiśniewski,11676,Software Engineer
2600,Krupa,16251,Project Manager
2601,Karpiński,13188,Data Analyst
2602,Guzik,12736,Data Engineer
2603,Michalak,6950,HR Specialist
2604,Jurek,6223,HR Specialist
2605,Laskowski,13151,Data Engineer
2606,Kucharz,8918,Data Analyst
2607,Majewski,6053,Junior Data Engineer
2608,Szymański,14134,DevOps Engineer
2609,Kuczyński,22959,Senior Data Engineer
2610,Gacek,13063,DevOps Engineer
2611,Kuc,18248,Senior Data Engineer
2612,Gajewski,7122,Junior Data Engineer
2613,Kępa,8315,Junior Data Engineer
2614,Ciesielski,7470,HR Specialist
2615,Mach,13409,Data Analyst
2616,Lipski,13563,DevOps Engineer
2617,Kasperek,24836,Senior Data Engineer
2618,Kogut,12089,Data Analyst
2619,Gąsior,24042,Senior Data Engineer
2620,Kasperek,17584,Senior Data Engineer
2621,Kuczyński,7284,HR Specialist
2622,Gałązka,22973,Senior Data Engineer
2623,Drzewiecki,9002,Data Analyst
2624,Kałuża,13543,DevOps Engineer
2625,Jankowski,15515,Data Engineer
2626,Konieczny,12039,Project Manager
2627,Pawlak,13107,DevOps Engineer
2628,Mróz,13485,Data Engineer
2629,Bieniek,10333,Project Manager
2630,Kujawa,19599,Senior Data Engineer
2631,Krawczyk,13693,Data Analyst
2632,Kmiecik,12903,DevOps Engineer
2633,Szczepański,21333,Senior Data Engineer
2634,Strzelczyk,5338,HR Specialist
2635,Czajka,13087,Data Analyst
2636,Kosowski,11364,Project Manager
2637,Woźniak,6192,HR Specialist
2638,Bieniek,7669,HR Specialist
2639,Bieniek,19285,DevOps Engineer
2640,Stasiak,12242,Data Engineer
2641,Kubiak,9518,Software Engineer
2642,Kubat,19565,Senior Data Engineer
2643,Szczepanik,5495,HR Specialist
2644,Wieczorek,7701,Junior Data Engineer
2645,Sadowski,14842,Data Engineer
2646,Kijek,11868,Data Analyst
2647,Sawicki,12091,Data Analyst
2648,Krajewski,9041,Software Engineer
2649,Kwiecień,11107,Data Engineer
2650,Szulc,7343,Junior Data Engineer
2651,Lipiński,15254,DevOps Engineer
2652,Madej,7824,Junior Data Engineer
2653,Żuk,12571,Data Engineer
2654,Wasilewski,11596,Project Manager
2655,Mikołajczyk,11489,Software Engineer
2656,Makowski,13800,Project Manager
2657,Kucharski,25879,Senior Data Engineer
2658,Jasiński,16392,DevOps Engineer
2659,Janicki,7441,Junior Data Engineer
2660,Lorenc,15139,Project Manager
2661,Witkowski,8935,Junior Data Engineer
2662,Sikora,10522,Project Manager
2663,Madejski,8260,Data Analyst
2664,Kopeć,12293,DevOps Engineer
2665,Lipiński,5587,HR Specialist
2666,Wasilewski,7930,HR Specialist
2667,Michalski,9277,Software Engineer
2668,Kaczmarek,19514,Senior Data Engineer
2669,Kamiński,5296,HR Specialist
2670,Wilk,11155,Data Analyst
2671,Klimas,9220,Data Analyst
2672,Maj,6631,HR Specialist
2673,Kijek,11858,Data Engineer
2674,Nowakowski,11298,Software Engineer
2675,Dziedzic,7004,HR Specialist
2676,Mach,16565,Software Engineer
2677,Gacek,11418,DevOps Engineer
2678,Godlewski,6988,Junior Data Engineer
2679,Rutkowski,25338,Senior Data Engineer
2680,Pawłowski,20710,Senior Data Engineer
2681,Zieliński,17339,DevOps Engineer
2682,Pawlak,11197,Data Analyst
2683,Morawski,6065,Junior Data Engineer
2684,Kobus,7455,HR Specialist
2685,Majewski,5661,HR Specialist
2686,Karpiński,20863,Senior Data Engineer
2687,Gruszka,18561,Senior Data Engineer
2688,Wilk,7261,Junior Data Engineer
2689,Hajduk,12501,Data Engineer
2690,Malik,13302,DevOps Engineer
2691,Marciniak,12985,DevOps Engineer
2692,Lipka,6448,HR Specialist
2693,Tkaczyk,14635,Project Manager
2694,Mazur,21704,Senior Data Engineer
2695,Sikora,8008,Junior Data Engineer
2696,Kalina,11232,Project Manager
2697,Malik,13014,Data Analyst
2698,Duda,10401,Project Manager
2699,Pietrzak,13047,Project Manager
2700,Żuk,7278,HR Specialist
2701,Adamczyk,6234,Junior Data Engineer
2702,Jurek,12849,Project Manager
2703,Wróbel,10233,Project Manager
2704,Nowak,9233,Data Analyst
2705,Gwóźdź,16347,Project Manager
2706,Kamiński,21920,Senior Data Engineer
2707,Głowacki,13847,Software Engineer
2708,Sobolewski,22488,Senior Data Engineer
2709,Dudek,8051,Junior Data Engineer
2710,Czajka,18835,DevOps Engineer
2711,Knap,8697,Junior Data Engineer
2712,Laskowski,12171,Data Analyst
2713,Kubala,9126,Software Engineer
2714,Lis,13371,Data Analyst
2715,Kujawski,7566,Junior Data Engineer
2716,Kulpa,13050,Software Engineer
2717,Duda,24598,Senior Data Engineer
2718,Dąbrowski,14720,Software Engineer
2719,Szczepański,8743,Junior Data Engineer
2720,Kowalczyk,13166,Software Engineer
2721,Zieliński,6899,Junior Data Engineer
2722,Kłos,12697,Project Manager
2723,Kuśnierz,11100,Data Analyst
2724,Pawłowski,13669,Data Engineer
2725,Bąk,19493,Senior Data Engineer
2726,Hajduk,14125,DevOps Engineer
2727,Kupiec,11914,Data Engineer
2728,Kałuża,15347,Data Engineer
2729,Kucharz,5943,HR Specialist
2730,Gąsior,5825,HR Specialist
2731,Koral,5441,HR Specialist
2732,Garbacz,9410,Software Engineer
2733,Kubiak,6199,HR Specialist
2734,Jaworski,10983,Data Engineer
2735,Kozłowski,12189,Project Manager
2736,Wróblewski,12530,DevOps Engineer
2737,Zając,12620,Data Analyst
2738,Kamiński,15727,DevOps Engineer
2739,Wasilewski,13790,DevOps Engineer
2740,Kędzierski,10578,Project Manager
2741,Kołodziej,12108,Data Engineer
2742,Maćkowiak,13233,Software Engineer
2743,Karpiński,6271,HR Specialist
2744,Ostrowski,19019,Senior Data Engineer
2745,Stasiak,12118,Data Analyst
2746,Krawczyk,6493,Junior Data Engineer
2747,Kuc,14037,DevOps Engineer
2748,Kogut,5035,HR Specialist
2749,Komorowski,11745,Data Engineer
2750,Małecki,19295,Senior Data Engineer
2751,Strzelczyk,12185,Software Engineer
2752,Brzeziński,16341,Project Manager
2753,Szymański,7446,HR Specialist
2754,Staszewski,10734,Data Engineer
2755,Baran,16780,Project Manager
2756,Majchrzak,9335,Data Analyst
2757,Nowak,11119,Data Analyst
2758,Malec,10976,Software Engineer
2759,Maj,14713,Project Manager
